CompanyID,Month,NumberOfEmployees,MarketingBudget,IndustryType,HistoricalSales,ProjectedSales
1,1,112,27293,Retail,86476,89266.80576566086
1,2,445,28172,Finance,469499,490775.80180271773
1,3,358,22128,Retail,182841,186917.42341407947
1,4,280,19257,Retail,354422,367776.5149460958
1,5,116,13855,Technology,228066,237215.53901323068
1,6,81,20642,Manufacturing,327778,333041.88016178936
1,7,198,36585,Retail,286107,293552.52677018795
1,8,30,21025,Healthcare,176259,181425.62714946838
1,9,112,5458,Manufacturing,454181,465184.66817718465
1,10,131,6307,Healthcare,470782,481555.6124862217
1,11,476,42701,Healthcare,364340,377987.00896716403
1,12,224,19425,Manufacturing,410823,418478.5452434265
2,1,340,44427,Manufacturing,229357,238158.7193263425
2,2,468,29273,Healthcare,443005,464004.2201688831
2,3,97,39506,Technology,236571,244285.08371130168
2,4,382,6668,Finance,69420,71812.03058857817
2,5,109,26934,Finance,206308,208939.9347163927
2,6,369,48195,Technology,318362,332554.28383958316
2,7,161,8697,Manufacturing,174283,178015.77786786217
2,8,140,25417,Healthcare,493108,510170.54600525834
2,9,159,17446,Finance,255103,267645.00807353633
2,10,318,41597,Healthcare,280461,289946.22019437
2,11,267,11751,Technology,114057,118503.89760046898
2,12,353,47218,Healthcare,390753,401620.9290711914
3,1,423,8352,Technology,257979,261181.71479776685
3,2,303,14516,Manufacturing,264202,275273.113733356
3,3,395,24299,Technology,192298,194490.18828709525
3,4,201,32957,Technology,173108,179690.65901772474
3,5,453,29927,Finance,495487,500896.16366060777
3,6,286,42094,Healthcare,322190,336524.9449669055
3,7,170,37412,Finance,296027,300853.8509111812
3,8,469,30493,Retail,429606,442739.4248028437
3,9,323,27711,Technology,421489,435771.58813127584
3,10,31,9003,Retail,87117,89582.56933016598
3,11,262,32707,Finance,179980,184233.02451252053
3,12,245,4278,Healthcare,448181,461049.4291630674
4,1,354,8296,Finance,259944,265781.46626907535
4,2,58,26398,Healthcare,238349,244909.53093217505
4,3,484,36842,Healthcare,266451,272940.8190145766
4,4,68,14261,Manufacturing,67373,69572.60670296587
4,5,179,12173,Technology,95452,97314.93348538433
4,6,485,31449,Finance,231161,242614.16351561915
4,7,197,42080,Healthcare,56654,58355.59145355653
4,8,473,2637,Finance,474496,482926.125163395
4,9,280,32781,Finance,237213,244111.78739460406
4,10,199,14652,Healthcare,173319,181058.83815336452
4,11,455,6103,Retail,417790,422332.32640397764
4,12,184,26500,Technology,269015,279017.5600540659
5,1,455,35800,Technology,338727,349538.7295161847
5,2,60,36529,Manufacturing,299105,304124.6757562432
5,3,373,48963,Manufacturing,144242,150400.9974623288
5,4,64,19452,Manufacturing,449576,460705.4269195366
5,5,253,32174,Technology,103968,106229.52037327563
5,6,329,36436,Retail,184815,192785.1482933213
5,7,140,48406,Technology,450375,466381.7787071428
5,8,494,16954,Technology,213223,223016.40986393587
5,9,316,18186,Technology,181590,187981.1232699861
5,10,144,13356,Technology,328796,341827.07530629786
5,11,30,33963,Retail,163114,170202.58143689964
5,12,338,3187,Manufacturing,295615,299218.4242987806
6,1,176,12707,Finance,301204,313566.0020242917
6,2,283,36098,Manufacturing,414633,428957.8483875494
6,3,397,27935,Manufacturing,284537,288173.47159588174
6,4,98,22225,Finance,223420,230199.2591721563
6,5,325,4606,Technology,256494,259904.94009017665
6,6,23,33828,Retail,127001,132009.65122264205
6,7,251,27489,Retail,436413,450317.1480986927
6,8,274,15387,Manufacturing,126757,132859.45483527082
6,9,355,4927,Finance,74395,75683.92423872327
6,10,62,7296,Healthcare,183407,189687.1010970562
6,11,395,31444,Technology,151978,154784.01318591018
6,12,349,47390,Manufacturing,294348,304521.4320049816
7,1,101,47893,Retail,181572,188636.23807028262
7,2,376,3591,Finance,174541,181329.27879782027
7,3,453,45895,Finance,273283,284925.6646158286
7,4,464,49516,Manufacturing,320227,334362.4631539363
7,5,437,27147,Healthcare,418742,424223.69668802276
7,6,273,39889,Retail,262328,268553.2234712196
7,7,440,2200,Manufacturing,448759,465580.6866045659
7,8,44,16721,Healthcare,233309,240295.07672499825
7,9,215,20238,Finance,408315,415512.38396796735
7,10,90,12087,Technology,170423,175895.00692306078
7,11,429,31816,Retail,270788,277909.02742164955
7,12,59,24408,Retail,56613,58062.37948051372
8,1,369,40740,Healthcare,422177,440073.14580663346
8,2,397,1136,Manufacturing,247935,254456.66571594728
8,3,11,18413,Finance,483756,489105.4610301275
8,4,399,49114,Healthcare,388346,393131.4066162
8,5,63,19978,Technology,469471,490244.97985988023
8,6,115,1661,Technology,135666,142235.49477964634
8,7,269,36240,Technology,72068,74773.1713623876
8,8,319,28253,Healthcare,361201,370077.41768788977
8,9,486,27884,Finance,331090,346831.34714225907
8,10,200,33854,Retail,201619,208980.5378188796
8,11,411,11704,Manufacturing,135237,141156.77544772284
8,12,227,39987,Retail,317913,330831.10614133265
9,1,53,25527,Finance,205955,211137.97551119776
9,2,171,17322,Retail,111340,114585.34812170904
9,3,211,48517,Healthcare,129199,131452.91352848816
9,4,455,7968,Technology,154222,157565.61994392684
9,5,493,28518,Finance,283931,295607.66988538974
9,6,279,47364,Finance,216234,226128.6809436181
9,7,360,28886,Retail,83434,86686.12523814233
9,8,313,2700,Healthcare,334246,343807.7578965078
9,9,280,29246,Retail,71536,72498.90108251496
9,10,465,36468,Retail,258963,262142.52646555187
9,11,471,24199,Finance,248842,255056.33688597567
9,12,224,45589,Retail,154639,159054.38707074051
10,1,261,33115,Technology,493604,510566.6150242788
10,2,199,6520,Retail,100775,101808.90926071099
10,3,305,45278,Technology,81147,85170.99173570678
10,4,222,37455,Finance,362670,371576.28859376576
10,5,217,21929,Healthcare,204731,213723.56074458666
10,6,246,42605,Technology,290879,300012.21321508987
10,7,347,15955,Healthcare,154663,157016.59629425965
10,8,376,45049,Healthcare,263168,274195.4292531762
